preview_id,case_id,media_type,relative_path,sha256,bytes,status,alt_text
alpha-final-t240,forced-fine-co035-pressure-t24,image/png,alpha_snapshot_t240.png,2a2e535a5571d08009a90ca02624ac6ac1ec0ba09e9913c1262e7b1aa2c62d6b,57278,published,Normalized liquid fraction at the final simulation time.
alpha-last-2p5s,forced-fine-co035-pressure-t24,image/gif,alpha_preview_last_2p5s.gif,e476e56d124fe06f49c3802f9a2c3013be5910d630bf7bd4208e13aee60caeb7,55807,published,Normalized liquid fraction over the final 2.5 seconds.
