case_id,quantity,value,unit,statistic,qa_status,source_class,source_sha256,source_revision,transform_version
decay-dt-0p001,analytical_frequency,0.758054,Hz,linear_wave_target,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-dt-0p001,measured_frequency,0.755717,Hz,zero_crossing,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-dt-0p001,relative_frequency_error,0.3083,percent,versus_analytical,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-dt-0p004,analytical_frequency,0.758054,Hz,linear_wave_target,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-dt-0p004,measured_frequency,0.755702,Hz,zero_crossing,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-dt-0p004,relative_frequency_error,0.3103,percent,versus_analytical,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb120,analytical_frequency,0.758054,Hz,linear_wave_target,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb120,measured_frequency,0.755763,Hz,zero_crossing,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb120,relative_frequency_error,0.3022,percent,versus_analytical,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb160,analytical_frequency,0.758054,Hz,linear_wave_target,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb160,measured_frequency,0.755807,Hz,zero_crossing,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb160,relative_frequency_error,0.2964,percent,versus_analytical,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb40,analytical_frequency,0.758054,Hz,linear_wave_target,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb40,measured_frequency,0.75558,Hz,zero_crossing,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb40,relative_frequency_error,0.3264,percent,versus_analytical,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb60,analytical_frequency,0.758054,Hz,linear_wave_target,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb60,measured_frequency,0.755651,Hz,zero_crossing,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb60,relative_frequency_error,0.317,percent,versus_analytical,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb80,analytical_frequency,0.758054,Hz,linear_wave_target,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb80,measured_frequency,0.755701,Hz,zero_crossing,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
decay-mesh-cpb80,relative_frequency_error,0.3104,percent,versus_analytical,pass,reviewed_aggregate,e093a0609d25aa207c55d64cbc06f897d2d085f3ca71c3a83d193c08e5e231ea,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-fine-t24,exchange_amplitude,133.484240315321,m3,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,38eec090aca469b00f6d8615ad5e7157acdf92637baf05781ce8e4ff2636aade,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-fine-t24,exchange_cycle_change,0.0000196166423572281,percent,last_two_cycles,pass,reviewed_aggregate,38eec090aca469b00f6d8615ad5e7157acdf92637baf05781ce8e4ff2636aade,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-fine-t24,level_difference_amplitude,1.11236866929434,m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,38eec090aca469b00f6d8615ad5e7157acdf92637baf05781ce8e4ff2636aade,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-fine-t24,max_courant,0.54890593,dimensionless,maximum,engineering_tolerance,reviewed_aggregate,38eec090aca469b00f6d8615ad5e7157acdf92637baf05781ce8e4ff2636aade,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-fine-t24,moment_cycle_change,0.0361501484852786,percent,last_two_cycles,pass,reviewed_aggregate,38eec090aca469b00f6d8615ad5e7157acdf92637baf05781ce8e4ff2636aade,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-fine-t24,roll_moment_amplitude,9814691.43628478,N_m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,38eec090aca469b00f6d8615ad5e7157acdf92637baf05781ce8e4ff2636aade,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-fine-t24,volume_drift,-0.00147434860009131,percent,full_run,pass,reviewed_aggregate,38eec090aca469b00f6d8615ad5e7157acdf92637baf05781ce8e4ff2636aade,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t16,exchange_amplitude,114.192748773406,m3,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t16,exchange_cycle_change,0.131129364154146,percent,last_two_cycles,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t16,level_difference_amplitude,0.951606239778379,m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t16,max_courant,0.41746648,dimensionless,maximum,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t16,moment_cycle_change,0.193060101232715,percent,last_two_cycles,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t16,roll_moment_amplitude,7473614.61287895,N_m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t16,volume_drift,-0.00190784619169785,percent,full_run,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t18,exchange_amplitude,123.292863538616,m3,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t18,exchange_cycle_change,0.1310728385574,percent,last_two_cycles,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t18,level_difference_amplitude,1.02744052948846,m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t18,max_courant,0.39346101,dimensionless,maximum,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t18,moment_cycle_change,0.100507772393078,percent,last_two_cycles,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t18,roll_moment_amplitude,8433125.44360373,N_m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t18,volume_drift,-0.00201606952529222,percent,full_run,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t20,exchange_amplitude,129.600923324472,m3,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t20,exchange_cycle_change,0.0285228127174028,percent,last_two_cycles,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t20,level_difference_amplitude,1.0800076943706,m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t20,max_courant,0.36836643,dimensionless,maximum,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t20,moment_cycle_change,0.0947336081441056,percent,last_two_cycles,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t20,roll_moment_amplitude,9103025.08155231,N_m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t20,volume_drift,-0.00345986718046188,percent,full_run,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t22,exchange_amplitude,132.425139828088,m3,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t22,exchange_cycle_change,0.000800764471165424,percent,last_two_cycles,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t22,level_difference_amplitude,1.10354283190073,m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t22,max_courant,0.34553613,dimensionless,maximum,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t22,moment_cycle_change,0.00559144751397308,percent,last_two_cycles,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t22,roll_moment_amplitude,9497852.4874917,N_m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t22,volume_drift,-0.00541854554398877,percent,full_run,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t24,exchange_amplitude,132.446045843552,m3,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t24,exchange_cycle_change,0.00512494532657193,percent,last_two_cycles,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
forced-medium-t24,level_difference_amplitude,1.10371704869627,m,last_cycle_harmonic_amplitude,pass,reviewed_aggregate,34f678a045a211986405b3a28dd8b4216231bfb5ee282dfb15e13c42e427a6af,183170d1655867cca267f700f41f229ed3399769,1.0.0
