case_id,quantity,value,unit,window,statistic,qa_status
forced-fine-co025-pressure-t24,roll_moment_amplitude_per_roll_degree,1954397.22845642,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-fine-co025-pressure-t24,volume_drift,-0.00279818740896629,percent,full_run,qa_metric,cycle_converged
forced-fine-co035-pressure-t24,force_x_N_harmonic_amplitude,179.3079018501565,N,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_x_N_maximum,4858.84416,N,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_x_N_minimum,-4587.37169,N,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_x_N_peak_to_peak,9446.21585,N,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_harmonic_amplitude,69910.73998533697,N,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_maximum,81203.4078,N,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_minimum,-80982.6343,N,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_peak_to_peak,162186.04210000002,N,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_harmonic_amplitude,28.215113957765723,N,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_maximum,-12401978.8,N,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_minimum,-12419360.6,N,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_peak_to_peak,17381.799999998882,N,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_harmonic_amplitude,9791356.160723904,N_m,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_maximum,9731526.92,N_m,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_minimum,-9731433.6,N_m,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_peak_to_peak,19462960.52,N_m,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_harmonic_amplitude,4106.139491938857,N_m,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_maximum,124222233.0,N_m,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_minimum,124004900.0,N_m,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_peak_to_peak,217333.0,N_m,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_harmonic_amplitude,701111.4520025817,N_m,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_maximum,803858.164,N_m,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_minimum,-805657.198,N_m,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_peak_to_peak,1609515.362,N_m,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-medium-sectional-t24,left_section_roll_moment_amplitude,4838623.71391625,N_m,final_three_cycles,harmonic_amplitude,cycle_converged
forced-medium-sectional-t24,level_amplitude_per_roll_degree,0.220739712966606,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-sectional-t24,observed_max_courant,0.31541745,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-sectional-t24,retained_field_window,24,s,full_run,qa_metric,cycle_converged
forced-medium-sectional-t24,right_section_roll_moment_amplitude,4834536.29760818,N_m,final_three_cycles,harmonic_amplitude,cycle_converged
forced-medium-sectional-t24,roll_moment_amplitude_per_roll_degree,1934631.98554184,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-sectional-t24,volume_drift,-0.00663769779454002,percent,full_run,qa_metric,cycle_converged
forced-medium-t16,exchange_amplitude_per_roll_degree,22.838549754681104,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
