case_id,completion_marker,end_time_s,configured_max_courant,observed_max_courant,observed_max_courant_time_s,courant_median,courant_p95,courant_target_exceeded,courant_steps_above_target,courant_step_count,pressure_probe_count,pressure_times_per_probe,pressure_row_count,aggregate_load_row_count,output_interval_s,all_reduced_values_finite,exchange_cycle_change_pct,moment_cycle_change_pct,declared_exchange_limit_pct,declared_moment_limit_pct,cycle_converged,exchange_change_from_prior_fine_pct,roll_moment_change_from_prior_fine_pct,max_courant_change_from_prior_fine_pct,qa_status
baseline-static-t24,true,47.98,0.5,0.0041304469,47.18,0.00010032252,0.00294497808,false,,2410,0,0,0,2400,0.1,true,0,0,2,5,true,,,,accepted_static_baseline
forced-fine-co025-pressure-t24,true,240,0.25,0.32648391,104.932,0.24895369,0.291275775,true,,24095,20,4800,96000,2400,0.05,true,0.0792335325057641,0.0768689663537009,2,5,true,,,,publish_with_courant_caveat
forced-fine-co035-pressure-t24,true,240,0.35,0.47841479,17.45,0.33655049,0.40386495,true,4951,17969,20,4800,96000,4800,0.05,true,0.137055192982667,0.0405693676041018,2,5,true,-0.184155303933792,-0.237758626568819,-12.842116681086,publish_with_courant_caveat
forced-medium-sectional-t24,true,239.98,0.5,0.31541745,98.46,0.237747725,0.3092706275,false,,12010,0,0,0,2400,0.1,true,0.023002424405722,0.0235391750232671,2,5,true,,,,accepted_cycle_converged
forced-medium-t21,true,209.98,0.5,0.36031468,192.04,0.26671863,0.3499188745,false,,10510,0,0,0,2400,0.1,true,0.0779309043494602,0.0637011995708033,2,5,true,,,,accepted_cycle_converged
forced-medium-t22,true,219.98,0.5,0.34553355,79.92,0.256194455,0.3337056775,false,,11010,0,0,0,2400,0.1,true,0.00131302367991397,0.0641866348058979,2,5,true,,,,accepted_cycle_converged
forced-medium-t23,true,229.98,0.5,0.33072195,83.22,0.247909625,0.3226001765,false,,11510,0,0,0,2400,0.1,true,0.094603594290946,0.146655470422634,2,5,true,,,,accepted_cycle_converged
forced-medium-t24,true,239.98,0.5,0.31541745,98.46,0.237747725,0.3092706275,false,,12010,0,0,0,2400,0.1,true,0.023002424405722,0.0235391750232671,2,5,true,,,,accepted_cycle_converged
forced-medium-t25,true,249.98,0.5,0.29901568,102.24,0.227731775,0.2940399795,false,,12510,0,0,0,2400,0.1,true,0.00784586370789151,0.00508830874823113,2,5,true,,,,accepted_cycle_converged
