case_id,probe_id,wall_location,z_over_height,window,minimum_Pa,maximum_Pa,mean_Pa,rms_Pa,p95_Pa,p99_Pa,peak_to_peak_Pa,harmonic_amplitude_Pa,qa_status
forced-fine-co025-pressure-t24,pressure-left-outer-h70,left-outer,0.7,full_run,-92.052895,-74.963828,-83.715406603125,83.9229164840341,-75.32820315,-75.20485972,17.089067,8.33222749148655,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-outer-h70,left-outer,0.7,last_cycle,-91.935962,-75.18137,-83.7285304116424,83.9366552748379,-75.356346,-75.2017158,16.754592,8.40451354527582,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-outer-h90,left-outer,0.9,final_three_cycles,-115.98599,-99.288075,-107.864904031228,108.023684525876,-99.460844,-99.3200682,16.697915,8.28205113341303,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-outer-h90,left-outer,0.9,full_run,-116.00502,-99.242996,-107.8627113675,108.02147932497,-99.4610922,-99.32173651,16.762024,8.27603742776344,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-outer-h90,left-outer,0.9,last_cycle,-115.9669,-99.311294,-107.871935744283,108.030555441099,-99.439595,-99.32083,16.655606,8.34640628375719,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h10,right-inner,0.1,final_three_cycles,37403.994,44626.662,40900.9275711312,40976.8145058067,44559.43,44618.768,7222.668,3516.1879550655,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h10,right-inner,0.1,full_run,37095.926,44736.794,40890.7090845833,40965.1311943619,44523.7848,44640.25705,7640.868,3472.69018614885,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h10,right-inner,0.1,last_cycle,37403.994,44583.165,40904.790962578,40980.2713209511,44532.026,44580.8974,7179.171,3440.29713927763,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h30,right-inner,0.3,final_three_cycles,17056.582,24717.154,20762.280814712,20918.5692027813,24601.549,24692.4266,7660.572,3595.41126187863,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h30,right-inner,0.3,full_run,16737.68,24836.177,20743.1787172917,20899.3944874794,24521.13555,24700.5791,8098.497,3585.16805230232,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h30,right-inner,0.3,last_cycle,17137.269,24673.291,20760.281047817,20914.669888046,24585.889,24667.3796,7536.022,3476.51667950146,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h50,right-inner,0.5,final_three_cycles,-61.340922,5319.189,1676.43182454607,2530.26964725608,4920.0133,5250.43802,5380.529922,2524.44306530877,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h50,right-inner,0.5,full_run,-62.205872,5441.256,1641.75465137854,2482.99651563575,4936.50965,5272.335174,5503.461872,2465.79407039309,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h50,right-inner,0.5,last_cycle,-60.840644,5027.6161,1667.94394774516,2512.58055005793,4895.8006,5021.25002,5088.456744,2350.06671212839,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h70,right-inner,0.7,final_three_cycles,-85.787708,-80.924301,-83.6951778938237,83.7084865478728,-81.351955,-81.013403,4.863407,2.09135273257325,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h70,right-inner,0.7,full_run,-86.069556,-80.909706,-83.702917113125,83.7161024944868,-81.3293364,-81.02595492,5.15985000000001,2.07335323306676,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h70,right-inner,0.7,last_cycle,-85.787708,-80.98406,-83.6998358316008,83.7132251678707,-81.333299,-81.0132334,4.803648,2.13384127998316,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h90,right-inner,0.9,final_three_cycles,-109.83928,-105.27503,-107.894208827203,107.905113885664,-105.4069,-105.323154,4.56425,2.14998776627353,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h90,right-inner,0.9,full_run,-109.93368,-105.27503,-107.899407552083,107.910471132476,-105.423237,-105.3662071,4.65864999999999,2.15614829167814,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-inner-h90,right-inner,0.9,last_cycle,-109.83294,-105.27503,-107.891835925156,107.902708314033,-105.34644,-105.298494,4.55790999999999,2.22485868656674,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h10,right-outer,0.1,final_three_cycles,33309.188,48914.016,41253.2610631506,41628.5654797988,48732.733,48871.9318,15604.828,7872.92202938599,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h10,right-outer,0.1,full_run,33132.947,48998.97,41238.4474625,41616.0001492742,48754.68735,48911.57769,15866.023,7891.10374962608,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h10,right-outer,0.1,last_cycle,33377.556,48806.531,41243.9645280665,41611.8803414869,48697.816,48792.9366,15428.975,7738.18689446493,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h30,right-outer,0.3,final_three_cycles,13084.116,27937.677,20615.0511158917,21271.3382150516,27813.176,27911.3902,14853.561,7404.51649455131,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h30,right-outer,0.3,full_run,12932.878,28252.153,20566.8606366667,21220.8425947529,27764.86215,28030.67398,15319.275,7373.15458797203,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h30,right-outer,0.3,last_cycle,13120.068,27893.999,20633.0163284823,21290.4356522107,27804.132,27884.6262,14773.931,7348.19811350773,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h50,right-outer,0.5,final_three_cycles,-67.477919,9373.8143,3167.0044086675,4781.53425372401,8982.7722,9303.51436,9441.292219,4741.89864048704,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h50,right-outer,0.5,full_run,-68.390733,9373.8143,3133.74507808889,4748.80736768907,8978.553085,9205.608517,9442.205033,4746.37487737112,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h50,right-outer,0.5,last_cycle,-67.388327,9373.8143,3187.19255951414,4812.1976752767,9107.0935,9358.60442,9441.202627,3830.23092004882,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h70,right-outer,0.7,final_three_cycles,-91.945176,-75.026645,-83.7207337397641,83.9284803506116,-75.303159,-75.1894462,16.918531,8.33863470227163,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h70,right-outer,0.7,full_run,-92.032101,-75.026645,-83.724437826875,83.931685764908,-75.30659425,-75.17511972,17.005456,8.32803337529708,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h70,right-outer,0.7,last_cycle,-91.874611,-75.178096,-83.736653985447,83.9438696746479,-75.306832,-75.232002,16.696515,8.2218120970853,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h90,right-outer,0.9,final_three_cycles,-115.96654,-99.308813,-107.866960192228,108.025315546949,-99.451398,-99.3442434,16.657727,8.26783859956272,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h90,right-outer,0.9,full_run,-116.00877,-99.274788,-107.863816341667,108.022546226613,-99.44161125,-99.32765812,16.733982,8.27536531895213,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-right-outer-h90,right-outer,0.9,last_cycle,-115.96632,-99.333164,-107.868212808732,108.026377997495,-99.443662,-99.3526786,16.633156,8.22026567883106,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h10,left-inner,0.1,final_three_cycles,37476.423,44682.68,40915.85093129771,40989.917845939155,44552.698,44654.1572,7206.256999999998,3478.762363201486,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h10,left-inner,0.1,full_run,37306.622,44814.194,40951.56446833334,41026.04432802042,44574.874200000006,44715.42558,7507.572,3472.8610909584627,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h10,left-inner,0.1,last_cycle,37478.653,44594.901,40903.84876507276,40977.81266792099,44532.971,44588.765999999996,7116.248,3500.352499823199,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h30,left-inner,0.3,final_three_cycles,17078.954,24714.469,20750.39350034698,20906.393951827795,24599.994,24694.749,7635.514999999999,3598.7173283902966,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h30,left-inner,0.3,full_run,16977.756,24965.265,20799.106562916666,20956.39170473644,24622.527599999998,24820.64831,7987.508999999998,3599.4610411124613,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h30,left-inner,0.3,last_cycle,17078.954,24704.457,20755.96251975052,20912.26071280474,24600.239,24696.5622,7625.502999999997,3583.953014215567,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h50,left-inner,0.5,final_three_cycles,-61.491868,5252.8166,1643.9325071968633,2495.9992220070285,4878.5369,5178.818779999999,5314.308468,2519.5407869637074,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h50,left-inner,0.5,full_run,-62.010234,5457.5811,1652.2719195339628,2499.6719879897364,4925.06396,5290.206022,5519.591334000001,2499.6726904372813,configured_limit_exceeded
