case_id,title,summary,study_family,evidence_depth,media_truth,representative_case_id,has_case_image,has_case_video,qa_summary,analysis_path,validation_fixture_path
decay-dt-0p001,Free-decay timestep verification - 0.001 s,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-dt-0p001,/reports/sloshing/validation.html
decay-dt-0p004,Free-decay timestep verification - 0.004 s,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-dt-0p004,/reports/sloshing/validation.html
decay-mesh-cpb120,Free-decay mesh verification - 14400 cells,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-mesh-cpb120,/reports/sloshing/validation.html
decay-mesh-cpb160,Free-decay mesh verification - 25600 cells,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-mesh-cpb160,/reports/sloshing/validation.html
decay-mesh-cpb40,Free-decay mesh verification - 1600 cells,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-mesh-cpb40,/reports/sloshing/validation.html
decay-mesh-cpb60,Free-decay mesh verification - 3600 cells,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-mesh-cpb60,/reports/sloshing/validation.html
decay-mesh-cpb80,Free-decay mesh verification - 6400 cells,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-mesh-cpb80,/reports/sloshing/validation.html
forced-fine-co035-pressure-t24,24 s forced roll pressure and load QA,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,standard,case_specific,,true,false,accepted_with_courant_caveat,/reports/sloshing/analysis.html?case=forced-fine-co035-pressure-t24,/reports/sloshing/validation.html
forced-fine-t24,24 s forced roll - fine mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,case_specific,,true,true,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-fine-t24,/reports/sloshing/validation.html
forced-medium-t16,16 s forced roll - medium mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,case_specific,,true,true,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t16,/reports/sloshing/validation.html
forced-medium-t18,18 s forced roll - medium mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,representative,forced-medium-t16,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t18,/reports/sloshing/validation.html
forced-medium-t20,20 s forced roll - medium mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,representative,forced-medium-t22,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t20,/reports/sloshing/validation.html
forced-medium-t22,22 s forced roll - medium mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,case_specific,,true,true,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t22,/reports/sloshing/validation.html
forced-medium-t24,24 s forced roll - medium mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,representative,forced-fine-t24,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t24,/reports/sloshing/validation.html
forced-medium-t26,26 s forced roll - medium mesh,Accepted forced-roll CFD response case for period and mesh comparison.,forced_roll_response,simple,case_specific,,true,true,accepted_cycle_converged,/reports/sloshing/analysis.html?case=forced-medium-t26,/reports/sloshing/validation.html
