case_id,probe_id,wall_location,z_over_height,window,minimum_Pa,maximum_Pa,mean_Pa,rms_Pa,p95_Pa,p99_Pa,peak_to_peak_Pa,harmonic_amplitude_Pa,qa_status
forced-fine-co035-pressure-t24,pressure-left-inner-h10,left-inner,0.1,full_run,37306.622,44814.194,40951.56446833334,41026.04432802042,44574.874200000006,44715.42558,7507.572,3472.8610909584627,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h10,left-inner,0.1,last_cycle,37478.653,44594.901,40903.84876507276,40977.81266792099,44532.971,44588.765999999996,7116.248,3500.352499823199,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h10,left-inner,0.1,final_three_cycles,37476.423,44682.68,40915.85093129771,40989.917845939155,44552.698,44654.1572,7206.256999999998,3478.762363201486,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h30,left-inner,0.3,full_run,16977.756,24965.265,20799.106562916666,20956.39170473644,24622.527599999998,24820.64831,7987.508999999998,3599.4610411124613,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h30,left-inner,0.3,last_cycle,17078.954,24704.457,20755.96251975052,20912.26071280474,24600.239,24696.5622,7625.502999999997,3583.953014215567,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h30,left-inner,0.3,final_three_cycles,17078.954,24714.469,20750.39350034698,20906.393951827795,24599.994,24694.749,7635.514999999999,3598.7173283902966,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h50,left-inner,0.5,full_run,-62.010234,5457.5811,1652.2719195339628,2499.6719879897364,4925.06396,5290.206022,5519.591334000001,2499.6726904372813,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h50,left-inner,0.5,last_cycle,-61.491868,5019.1576,1638.5526386482327,2479.4425113899756,4889.0215,5014.3805600000005,5080.649468,2768.7429183577847,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h50,left-inner,0.5,final_three_cycles,-61.491868,5252.8166,1643.9325071968633,2495.9992220070285,4878.5369,5178.818779999999,5314.308468,2519.5407869637074,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h70,left-inner,0.7,full_run,-85.883437,-80.917282,-83.69674290666667,83.70983706779604,-81.3996655,-81.11038357,4.9661550000000005,2.0718788144835987,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h70,left-inner,0.7,last_cycle,-85.822175,-80.917282,-83.69324623492724,83.70638801257539,-81.291899,-81.0332346,4.904893000000001,1.9946999847751092,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h70,left-inner,0.7,final_three_cycles,-85.822175,-80.917282,-83.69432402012491,83.70739277753722,-81.365711,-81.0749126,4.904893000000001,2.0716299416278328,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h90,left-inner,0.9,full_run,-109.88736,-105.30706,-107.89379753749999,107.9047966550605,-105.445827,-105.3823489,4.580299999999994,2.154052171289115,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h90,left-inner,0.9,last_cycle,-109.83892,-105.38224,-107.89565546777548,107.90648177789049,-105.4452,-105.391596,4.456680000000006,2.10609250037656,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-inner-h90,left-inner,0.9,final_three_cycles,-109.83892,-105.37902,-107.89141091603052,107.90232292936967,-105.45476,-105.391944,4.459900000000005,2.144349589491604,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h10,left-outer,0.1,full_run,33179.173,49067.596,41266.98522729166,41643.7718004084,48755.700950000006,48956.14961,15888.422999999995,7889.606078064501,configured_limit_exceeded
